31750|100|2016-01-30
31500|100|2016-01-30
31500|100|2016-01-30
33495|100|2016-01-30
31500|100|2016-01-30
31500|100|2016-01-30
30000|100|2016-01-30
99999|300|2016-01-30
65100|200|2016-01-30
33000|100|2016-01-30
32000|100|2016-01-30
159000|500|2016-01-29
33078|100|2016-01-29
63000|200|2016-01-29
65100|200|2016-01-28
157500|500|2016-01-28
33075|100|2016-01-28
33075|100|2016-01-28
33075|100|2016-01-28
33075|100|2016-01-28
34729|100|2016-01-28
33075|100|2016-01-28
34729|100|2016-01-28
34729|100|2016-01-28
33075|100|2016-01-28
315000|1000|2016-01-28
33075|100|2016-01-28
66150|200|2016-01-28
31499|100|2016-01-28
364653|1000|2016-01-28
36383|100|2016-01-28
36466|100|2016-01-28
34035|100|2016-01-27
34729|101|2016-01-27
36466|101|2016-01-27
389268|1000|2016-01-27
370731|1000|2016-01-27
38293|100|2016-01-27
30000|100|2016-01-26
30000|100|2016-01-26
29400|100|2016-01-26
29999|100|2016-01-26
315000|1000|2016-01-26
30000|100|2016-01-26
30000|100|2016-01-26
33075|100|2016-01-26
157500|500|2016-01-26
30000|100|2016-01-26
36466|100|2016-01-26
36466|100|2016-01-26
31500|100|2016-01-25
30000|101|2016-01-25
29400|100|2016-01-25
30000|100|2016-01-25
99225|300|2016-01-25
300000|1000|2016-01-25
330750|1000|2016-01-25
63000|200|2016-01-24
33075|100|2016-01-24
30000|100|2016-01-24
30000|100|2016-01-24
300000|1000|2016-01-24
31500|101|2016-01-24
30001|102|2016-01-24
30000|100|2016-01-24
300000|1000|2016-01-24
300000|1000|2016-01-24
300000|1000|2016-01-24
29499|101|2016-01-24
30001|101|2016-01-24
30000|100|2016-01-24
30000|100|2016-01-24
30000|100|2016-01-23
30000|100|2016-01-23
29999|101|2016-01-23
30000|100|2016-01-23
30000|100|2016-01-22
30000|100|2016-01-22
30001|103|2016-01-22
30000|100|2016-01-22
300000|1000|2016-01-21
30000|100|2016-01-21
30000|102|2016-01-21
30000|100|2016-01-21
30000|101|2016-01-20
30000|100|2016-01-20
300000|1000|2016-01-20
30000|102|2016-01-20
30000|100|2016-01-20
30000|101|2016-01-19
30450|100|2016-01-19
60000|200|2016-01-19
30000|100|2016-01-19
